date,actual,counterfactual,effect
2011-04-01,29504.184,27302.75,2201.434000000001
2011-04-02,0.0,0.0,0.0
2011-04-03,8302.199999999999,9224.4,-922.2000000000007
2011-04-04,34821.324,20005.16,14816.164
2011-04-05,34511.244,37190.52,-2679.275999999998
2011-04-06,15266.784,29587.42,-14320.635999999999
2011-04-07,20193.324,25688.61,-5495.286
2011-04-08,27264.852,27302.75,-37.89800000000105
2011-04-09,0.0,0.0,0.0
2011-04-10,11896.776,9224.4,2672.376
2011-04-11,24220.968,20005.16,4215.808000000001
2011-04-12,28828.752,37190.52,-8361.767999999996
2011-04-13,29381.304,29587.42,-206.11599999999817
2011-04-14,42843.24,25688.61,17154.629999999997
2011-04-15,21625.7772,27302.75,-5676.9728
2011-04-16,0.0,0.0,0.0
2011-04-17,15270.6,9224.4,6046.200000000001
2011-04-18,52456.272,20005.16,32451.111999999997
2011-04-19,22623.648,37190.52,-14566.871999999996
2011-04-20,30862.74,29587.42,1275.3200000000033
2011-04-21,33365.364,25688.61,7676.754000000001
2011-04-22,0.0,27302.75,-27302.75
2011-04-23,0.0,0.0,0.0
2011-04-24,0.0,9224.4,-9224.4
2011-04-25,0.0,20005.16,-20005.16
2011-04-26,25901.292,37190.52,-11289.227999999996
2011-04-27,28311.84,29587.42,-1275.579999999998
2011-04-28,25587.948,25688.61,-100.66200000000026
2011-04-29,0.0,27302.75,-27302.75
2011-04-30,0.0,0.0,0.0
2011-05-01,8368.392,9224.4,-856.0079999999998
2011-05-02,0.0,20005.16,-20005.16
2011-05-03,34692.492,37190.52,-2498.0279999999984
2011-05-04,33038.4,29587.42,3450.980000000003
2011-05-05,30279.204,25688.61,4590.594000000001
2011-05-06,36944.04,27302.75,9641.29
2011-05-07,0.0,0.0,0.0
2011-05-08,22640.88,9224.4,13416.480000000001
2011-05-09,25949.292,20005.16,5944.132000000001
2011-05-10,35844.84,37190.52,-1345.6800000000003
2011-05-11,38265.24,29587.42,8677.82
2011-05-12,71881.87199999999,25688.61,46193.26199999999
2011-05-13,31062.996,27302.75,3760.245999999999
2011-05-14,0.0,0.0,0.0
2011-05-15,11616.06,9224.4,2391.66
2011-05-16,42848.03999999999,20005.16,22842.879999999994
2011-05-17,55687.308000000005,37190.52,18496.788000000008
2011-05-18,39459.444,29587.42,9872.024000000005
2011-05-19,37864.212,25688.61,12175.601999999999
2011-05-20,30587.592,27302.75,3284.8420000000006
2011-05-21,0.0,0.0,0.0
2011-05-22,29077.308,9224.4,19852.908000000003
2011-05-23,37568.988,20005.16,17563.827999999998
2011-05-24,38954.976,37190.52,1764.4560000000056
2011-05-25,26261.916,29587.42,-3325.503999999997
2011-05-26,39317.256,25688.61,13628.646
2011-05-27,25395.984,27302.75,-1906.7659999999996
2011-05-28,0.0,0.0,0.0
2011-05-29,8873.16,9224.4,-351.2399999999998
2011-05-30,0.0,20005.16,-20005.16
2011-05-31,21833.58,37190.52,-15356.939999999995
2011-06-01,18469.068,29587.42,-11118.351999999999
2011-06-02,33725.472,25688.61,8036.862000000001
2011-06-03,18050.712,27302.75,-9252.038
2011-06-04,0.0,0.0,0.0
2011-06-05,30767.448,9224.4,21543.048000000003
2011-06-06,19549.176,20005.16,-455.9840000000004
2011-06-07,40689.912,37190.52,3499.392
2011-06-08,36230.556,29587.42,6643.135999999999
2011-06-09,51492.456,25688.61,25803.845999999998
2011-06-10,69894.144,27302.75,42591.394
2011-06-11,0.0,0.0,0.0
2011-06-12,14966.652,9224.4,5742.252
2011-06-13,23662.932,20005.16,3657.772000000001
2011-06-14,40001.364,37190.52,2810.8440000000046
2011-06-15,54093.048,29587.42,24505.628000000004
2011-06-16,38769.324,25688.61,13080.714
2011-06-17,22871.076,27302.75,-4431.673999999999
2011-06-18,0.0,0.0,0.0
2011-06-19,26930.616,9224.4,17706.216
2011-06-20,31364.076,20005.16,11358.916000000001
2011-06-21,23820.792,37190.52,-13369.727999999996
2011-06-22,25404.504,29587.42,-4182.915999999997
2011-06-23,27068.172,25688.61,1379.561999999998
2011-06-24,19226.052,27302.75,-8076.698
2011-06-25,0.0,0.0,0.0
2011-06-26,8498.988,9224.4,-725.4120000000003
2011-06-27,16094.64,20005.16,-3910.5200000000004
2011-06-28,36638.844,37190.52,-551.6759999999995
2011-06-29,15084.755999999998,29587.42,-14502.664
2011-06-30,50091.648,25688.61,24403.038
2011-07-01,14627.148,27302.75,-12675.602
2011-07-02,0.0,0.0,0.0
2011-07-03,7238.868,9224.4,-1985.5319999999992
2011-07-04,37182.204,20005.16,17177.043999999998
2011-07-05,31190.712,37190.52,-5999.807999999997
2011-07-06,27552.576,29587.42,-2034.8439999999973
2011-07-07,33472.392,25688.61,7783.781999999999
2011-07-08,21069.96,27302.75,-6232.790000000001
2011-07-09,0.0,0.0,0.0
