date,revenue,revenue_original
2010-12-01,46376.49,46376.49
2010-12-02,47316.53,47316.53
2010-12-03,23921.71,23921.71
2010-12-04,0.0,0.0
2010-12-05,31771.6,31771.6
2010-12-06,31215.64,31215.64
2010-12-07,53795.31,53795.31
2010-12-08,39248.82,39248.82
2010-12-09,38231.9,38231.9
2010-12-10,33650.28,33650.28
2010-12-11,0.0,0.0
2010-12-12,17305.77,17305.77
2010-12-13,27642.68,27642.68
2010-12-14,29322.3,29322.3
2010-12-15,30311.72,30311.72
2010-12-16,49030.08,49030.08
2010-12-17,20046.56,20046.56
2010-12-18,0.0,0.0
2010-12-19,7417.39,7417.39
2010-12-20,19621.96,19621.96
2010-12-21,15951.66,15951.66
2010-12-22,4886.52,4886.52
2010-12-23,5648.97,5648.97
2010-12-24,0.0,0.0
2010-12-25,0.0,0.0
2010-12-26,0.0,0.0
2010-12-27,0.0,0.0
2010-12-28,0.0,0.0
2010-12-29,0.0,0.0
2010-12-30,0.0,0.0
2010-12-31,0.0,0.0
2011-01-01,0.0,0.0
2011-01-02,0.0,0.0
2011-01-03,0.0,0.0
2011-01-04,12125.460000000001,12125.460000000001
2011-01-05,28803.63,28803.63
2011-01-06,34360.19,34360.19
2011-01-07,23797.79,23797.79
2011-01-08,0.0,0.0
2011-01-09,15778.2,15778.2
2011-01-10,15346.83,15346.83
2011-01-11,60268.78,60268.78
2011-01-12,17153.94,17153.94
2011-01-13,15171.31,15171.31
2011-01-14,39532.02,39532.02
2011-01-15,0.0,0.0
2011-01-16,7242.06,7242.06
2011-01-17,16597.35,16597.35
2011-01-18,87589.11,87589.11
2011-01-19,21646.78,21646.78
2011-01-20,15244.73,15244.73
2011-01-21,24279.76,24279.76
2011-01-22,0.0,0.0
2011-01-23,10400.25,10400.25
2011-01-24,17632.37,17632.37
2011-01-25,24119.3,24119.3
2011-01-26,17490.82,17490.82
2011-01-27,22157.03,22157.03
2011-01-28,17273.5,17273.5
2011-01-29,0.0,0.0
2011-01-30,6615.75,6615.75
2011-01-31,18818.08,18818.08
2011-02-01,26376.5,26376.5
2011-02-02,17145.23,17145.23
2011-02-03,22184.0,22184.0
2011-02-04,18114.31,18114.31
2011-02-05,0.0,0.0
2011-02-06,3457.11,3457.11
2011-02-07,23415.01,23415.01
