date,actual,counterfactual,effect
2011-04-01,29504.184,18845.044405661054,10659.139594338947
2011-04-02,0.0,-1229.0964371972186,1229.0964371972186
2011-04-03,8302.199999999999,8730.173304602398,-427.97330460239937
2011-04-04,34821.324,17919.101068028063,16902.222931971937
2011-04-05,34511.244,28812.61389449184,5698.63010550816
2011-04-06,15266.784,20374.55696258324,-5107.77296258324
2011-04-07,20193.324,23999.517622417305,-3806.193622417304
2011-04-08,27264.852,18776.586620227656,8488.265379772343
2011-04-09,0.0,-1297.5542226367834,1297.5542226367834
2011-04-10,11896.776,8661.7155191501,3235.0604808498992
2011-04-11,24220.968,17850.643282590667,6370.324717409334
2011-04-12,28828.752,28744.156109038675,84.5958909613255
2011-04-13,29381.304,20306.09917716047,9075.204822839529
2011-04-14,42843.24,23931.059836982928,18912.18016301707
2011-04-15,21625.7772,18708.128834768337,2917.648365231664
2011-04-16,0.0,-1366.0120080388078,1366.0120080388078
2011-04-17,15270.6,8593.25773373405,6677.3422662659505
2011-04-18,52456.272,17782.185497167,34674.086502833
2011-04-19,22623.648,28675.698323621542,-6052.050323621541
2011-04-20,30862.74,20237.641391737707,10625.098608262295
2011-04-21,33365.364,23862.60205157588,9502.761948424122
2011-04-22,0.0,18639.67104942113,-18639.67104942113
2011-04-23,0.0,-1434.4697934962714,1434.4697934962714
2011-04-24,0.0,8524.799948317996,-8524.799948317996
2011-04-25,0.0,17713.72771174981,-17713.72771174981
2011-04-26,25901.292,28607.24053821182,-2705.9485382118182
2011-04-27,28311.84,20169.18360628985,8142.656393710149
2011-04-28,25587.948,23794.144266141506,1793.8037338584945
2011-04-29,0.0,18571.21326396181,-18571.21326396181
2011-04-30,0.0,-1502.9275789179192,1502.9275789179192
2011-05-01,8368.392,8456.342162901943,-87.95016290194326
2011-05-02,0.0,17645.26992627925,-17645.26992627925
2011-05-03,34692.492,28538.782752776675,6153.7092472233235
2011-05-04,33038.4,20100.725820893073,12937.674179106929
2011-05-05,30279.204,23725.686480707132,6553.517519292869
2011-05-06,36944.04,18502.75547855434,18441.28452144566
2011-05-07,0.0,-1571.385364319951,1571.385364319951
2011-05-08,22640.88,8387.884377449645,14252.995622550356
2011-05-09,25949.292,17576.81214086206,8372.47985913794
2011-05-10,35844.84,28470.324967359542,7374.515032640455
2011-05-11,38265.24,20032.26803544432,18232.97196455568
2011-05-12,71881.87199999999,23657.22869527276,48224.64330472723
2011-05-13,31062.996,18434.29769312515,12628.698306874849
